,Country,Age,Income,Java,JavaScript,CSS,PHP,Python,Objective-C,Ruby,SQL,C#,C++,C,Perl,HTML5,None,Other (please specify)
1,India,20-24,"<$20,000",True,True,False,False,False,False,False,True,False,True,True,False,False,False,
2,Germany,25-29,"$20,000 - $40,000",False,True,True,True,False,True,False,False,False,True,False,False,True,False,
3,United Kingdom,20-24,"$20,000 - $40,000",False,False,True,True,False,True,False,True,False,False,False,False,True,False,
4,France,20-24,"$20,000 - $40,000",True,False,False,False,False,False,False,False,False,True,False,False,False,False,
5,United States of America,< 20,Student / Unemployed,True,False,False,False,False,False,False,False,False,False,False,False,False,False,
6,Other Europe,30-34,"$40,000 - $60,000",True,True,True,True,False,False,False,True,False,False,False,False,True,False,
7,Other Europe,25-29,,False,True,True,True,False,False,False,True,False,False,False,False,True,False,
8,Other Europe,20-24,Student / Unemployed,False,True,True,False,False,False,False,True,True,False,False,False,True,False,
9,Russia,20-24,"$20,000 - $40,000",True,False,False,False,False,False,False,True,True,True,False,False,False,False,
10,Other Europe,20-24,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
11,United States of America,25-29,Rather not say,True,True,True,False,True,False,False,False,False,True,True,False,False,False,
12,United Kingdom,25-29,"$40,000 - $60,000",False,False,False,True,False,True,False,True,False,True,True,True,False,False,
13,Other Europe,30-34,Rather not say,True,False,False,False,False,False,False,True,False,False,False,False,True,False,
14,Canada,20-24,"$40,000 - $60,000",False,True,True,False,False,False,False,True,True,False,False,False,False,False,
15,Italy,20-24,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
16,Italy,25-29,Rather not say,True,False,False,True,False,False,False,False,False,False,False,False,False,False,
17,Other Europe,20-24,Rather not say,False,False,False,False,False,False,False,True,True,False,False,False,False,False,
18,Other Europe,30-34,"$40,000 - $60,000",True,True,True,True,False,False,False,True,False,False,False,False,False,False,
19,India,20-24,Rather not say,True,True,False,False,False,False,False,True,False,True,True,False,False,False,
20,United Kingdom,20-24,,True,True,True,True,False,False,True,True,False,False,False,False,True,False,
21,United States of America,20-24,"$40,000 - $60,000",True,False,False,False,False,False,False,True,False,False,False,False,False,False,
22,United Kingdom,< 20,"<$20,000",False,False,True,False,False,False,False,False,True,False,False,False,False,False,
23,Other Europe,25-29,"<$20,000",False,True,True,True,False,False,False,True,True,False,False,False,True,False,
24,France,20-24,"<$20,000",True,False,False,False,False,False,False,False,False,False,False,False,False,False,
25,United Kingdom,25-29,"$40,000 - $60,000",True,True,True,False,False,False,False,True,False,False,False,False,True,False,VB.NET
26,United Kingdom,20-24,Rather not say,False,True,True,True,True,True,False,True,True,False,False,False,False,False,ASP.NET
27,United States of America,40-50,"$40,000 - $60,000",False,False,False,True,False,False,False,False,False,False,False,False,False,False,
28,France,35-39,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
29,United Kingdom,20-24,Student / Unemployed,False,False,True,True,True,False,False,True,True,True,False,False,True,False,
30,Other Europe,20-24,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
31,Canada,30-34,Rather not say,False,False,False,False,False,False,False,True,True,False,False,False,False,False,
32,United Kingdom,25-29,"$60,000 - $80,000",True,True,True,True,False,False,False,True,True,False,False,False,True,False,
33,United Kingdom,25-29,"$40,000 - $60,000",False,True,True,True,False,False,False,True,False,True,False,True,True,False,
34,United Kingdom,25-29,"$80,000 - $100,000",False,True,True,False,False,False,False,True,True,False,False,False,False,False,
35,Australia,< 20,Student / Unemployed,False,True,True,True,False,False,False,True,False,False,False,False,False,False,mIRC Scripting Language
36,Netherlands,20-24,Rather not say,False,False,False,False,False,False,False,True,True,False,False,False,False,False,
37,Other Europe,25-29,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
38,India,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
39,Middle East,25-29,Rather not say,False,True,False,True,False,False,False,True,False,False,False,False,True,False,
40,Other Europe,25-29,Rather not say,True,True,True,False,False,False,False,True,True,False,False,False,False,False,
41,North America (Other),20-24,Rather not say,False,False,True,True,False,False,True,False,True,True,False,False,False,False,
42,Germany,30-34,"$60,000 - $80,000",True,False,False,False,True,False,True,True,False,True,True,False,False,False,
43,Germany,25-29,Rather not say,True,True,True,True,False,False,False,True,True,False,False,False,True,False,
44,Germany,25-29,"$60,000 - $80,000",True,True,True,False,False,True,False,True,False,True,True,False,True,False,
45,India,20-24,Rather not say,True,False,False,False,False,False,False,False,False,False,False,False,False,False,
46,United Kingdom,40-50,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
47,Germany,25-29,,True,False,False,False,False,False,False,True,False,True,False,False,False,False,
48,Germany,30-34,"$60,000 - $80,000",False,False,False,False,False,False,False,False,False,False,True,False,False,False,ASCET
49,India,20-24,,True,True,True,False,False,True,False,True,False,True,True,False,True,False,
50,Canada,25-29,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
51,Other Europe,30-34,Rather not say,False,False,False,False,False,False,False,True,True,True,False,False,False,False,
52,India,25-29,"<$20,000",False,True,True,True,False,False,False,False,False,False,False,False,False,False,
53,United States of America,30-34,"$120,000 - $140,000",False,True,True,False,False,False,False,True,True,False,False,False,True,False,
54,Middle East,30-34,"<$20,000",False,True,True,True,True,False,False,True,False,False,False,False,True,False,
55,Other Europe,25-29,Rather not say,True,False,False,False,False,False,False,True,True,False,False,False,False,False,
56,Russia,25-29,"$40,000 - $60,000",False,False,False,False,False,False,False,False,True,True,False,False,False,False,
57,Other Asia,25-29,Rather not say,True,True,True,True,False,False,False,False,False,False,True,False,True,False,
58,Other Europe,35-39,">$140,000",True,True,False,False,False,False,False,True,False,True,True,False,True,False,clojure
59,Africa,25-29,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
60,France,20-24,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
61,Other Europe,25-29,"$20,000 - $40,000",True,True,True,True,True,True,False,True,True,True,True,False,True,False,
62,India,25-29,Rather not say,True,True,True,True,False,False,False,True,True,True,False,False,True,False,
63,United Kingdom,< 20,"<$20,000",False,False,False,False,False,False,False,False,False,False,False,False,False,False,
64,Other Europe,25-29,"$20,000 - $40,000",False,True,True,True,True,False,True,True,False,False,False,False,True,False,
65,Netherlands,25-29,"$120,000 - $140,000",False,False,False,False,False,False,False,True,True,True,True,False,False,False,Brainfuck
66,Other Asia,25-29,"$100,000 - $120,000",True,False,False,False,False,True,False,False,True,True,False,False,False,False,
