,Country,Age,Income,C,C++,C#,Java,JavaScript,jQuery,JQuery,Node.js,Objective-C,PHP,Python,Ruby,SQL,Other (please specify)
1,United Kingdom,35-39,"$80,000 - $100,000",False,False,False,True,False,False,False,False,False,False,False,False,True,
2,United States of America,25-29,"$20,000 - $40,000",False,False,True,False,True,True,False,False,False,True,False,False,False,MySql / VbScript
3,United States of America,51-60,"$120,000 - $140,000",False,False,True,False,True,True,False,False,False,False,False,False,True,"PL/SQL, XSLT, XQuery"
4,Germany,,,False,False,False,False,False,False,False,False,False,False,False,False,False,
5,United States of America,35-39,,False,False,False,False,False,False,False,False,False,False,False,False,False,
6,United States of America,< 20,Student / Unemployed,False,False,True,False,False,False,False,False,False,False,True,False,False,
7,United States of America,20-24,Rather not say,True,True,False,True,True,True,False,False,False,True,False,False,True,
8,United Kingdom,20-24,"$80,000 - $100,000",False,False,False,False,True,True,False,False,False,True,True,False,True,
9,Germany,,,False,False,False,False,False,False,False,False,False,False,False,False,False,
10,United States of America,< 20,,False,False,False,False,False,False,False,False,False,False,False,False,False,
11,United States of America,< 20,Student / Unemployed,False,False,False,True,False,True,False,False,False,True,False,False,True,
12,United States of America,40-50,">$140,000",False,False,False,True,False,True,False,False,False,True,True,False,True,
13,United Kingdom,35-39,"$80,000 - $100,000",False,False,True,False,True,True,False,False,False,False,False,False,False,
14,United States of America,35-39,">$140,000",True,False,False,True,True,True,False,False,True,False,False,False,False,"Freemarker, Soy"
15,United States of America,25-29,Rather not say,True,False,False,True,True,False,False,False,False,True,True,False,True,Android SDK
16,Germany,25-29,"<$20,000",False,False,False,False,True,False,False,False,False,False,True,False,True,
17,Other Europe,25-29,,False,False,False,False,False,False,False,False,False,False,False,False,False,
18,Germany,25-29,"$40,000 - $60,000",True,False,False,False,True,False,False,True,False,False,True,True,False,Lua
19,Other Europe,35-39,"$20,000 - $40,000",True,True,False,True,False,False,False,False,False,True,True,False,True,
20,Middle East,25-29,,False,False,False,False,False,False,False,False,False,False,False,False,False,
