,Country,Age,Income,C,C++,C#,Java,JavaScript,Node.js,Objective-C,PHP,Python,Ruby,SQL,Other (please specify)
1,India,India,"$20,000 - $40,000",False,False,False,True,True,False,False,True,True,False,False,
2,Thailand,Thailand,Student / Unemployed,False,False,False,False,False,False,False,True,False,False,False,
3,Iran,Iran,"<$20,000",False,False,True,False,True,False,False,False,False,False,True,
4,Ukraine,Ukraine,Student / Unemployed,False,True,False,False,False,False,False,False,False,False,False,
5,India,India,Rather not say,False,False,False,True,True,False,False,False,False,False,True,
6,Denmark,Denmark,"$80,000 - $100,000",False,False,False,False,False,False,False,False,False,False,False,
7,India,India,"<$20,000",False,False,False,False,False,False,False,False,False,False,True,oracle plsql
8,India,India,"<$20,000",False,False,False,True,True,False,False,False,False,False,True,
9,United Kingdom,United Kingdom,"<$20,000",False,False,True,False,False,False,False,False,False,False,False,
10,New Zealand,New Zealand,"$60,000 - $80,000",False,False,True,False,True,False,False,False,False,False,True,
11,Israel,Israel,"$40,000 - $60,000",False,False,True,False,True,False,False,False,False,False,True,
12,Saudi Arabia,Saudi Arabia,Rather not say,False,False,False,False,False,False,False,False,False,False,False,
13,Czech Republic,Czech Republic,"$40,000 - $60,000",False,False,True,False,True,False,False,False,False,False,True,
14,India,India,Student / Unemployed,False,False,False,False,False,False,False,False,False,False,False,
15,United Kingdom,United Kingdom,Student / Unemployed,True,True,True,True,True,False,False,False,False,False,False,C
16,United States,United States,,False,False,False,False,False,False,False,False,False,False,False,
17,Canada,Canada,,False,False,False,False,False,False,False,False,False,False,False,
18,United States,United States,">$140,000",False,False,False,False,False,False,False,False,False,False,False,
19,Germany,Germany,Student / Unemployed,False,False,False,False,False,False,False,False,False,False,False,
20,United States,United States,"$100,000 - $120,000",False,False,False,False,False,False,False,False,True,False,False,
21,United Kingdom,United Kingdom,Student / Unemployed,False,False,False,True,True,False,False,False,False,False,False,
22,Canada,Canada,"$60,000 - $80,000",False,True,True,False,False,False,False,False,True,False,False,
23,United States,United States,"$100,000 - $120,000",False,False,True,False,True,False,False,False,False,False,True,Powershell
24,Germany,Germany,,False,True,False,False,False,False,False,False,True,False,False,"CMake, Lua"
25,Germany,Germany,"<$20,000",True,True,False,False,False,False,False,False,False,False,False,
26,United Kingdom,United Kingdom,"$60,000 - $80,000",False,False,False,False,True,False,False,True,False,False,False,
27,United States,United States,"$80,000 - $100,000",False,False,False,True,True,False,False,False,False,False,True,perl
28,Canada,Canada,Student / Unemployed,False,False,False,False,False,False,False,False,False,False,False,
29,United States,United States,Rather not say,False,False,True,True,False,False,False,False,False,False,False,
30,United States,United States,"$60,000 - $80,000",False,False,False,False,False,False,False,False,False,False,False,
31,Brazil,Brazil,"<$20,000",False,False,False,False,False,False,False,False,False,False,False,
32,India,India,"$20,000 - $40,000",False,False,False,False,True,True,False,True,True,False,False,
33,United States,United States,"$80,000 - $100,000",True,True,False,False,False,False,True,False,False,False,False,
34,India,India,Student / Unemployed,False,False,False,False,False,False,False,False,False,False,False,
35,United States,United States,"$80,000 - $100,000",False,False,False,True,True,False,False,True,False,False,True,
36,India,India,Rather not say,False,False,True,False,True,False,False,False,False,False,True,
37,United States,United States,,False,False,False,False,False,False,False,False,False,False,False,
38,Ireland,Ireland,"$60,000 - $80,000",False,False,True,False,False,False,False,False,False,False,True,VB.NET
39,Japan,Japan,,False,False,False,False,False,False,False,False,False,False,False,
40,United States,United States,Student / Unemployed,False,False,False,False,True,False,False,False,False,True,True,
41,United States,United States,,False,False,False,False,False,False,False,False,False,False,False,
42,United States,United States,Student / Unemployed,False,False,False,False,False,False,False,False,False,False,False,
43,Germany,Germany,,False,False,False,False,False,False,False,False,False,False,False,
44,United States,United States,,False,False,False,False,False,False,False,False,False,False,False,
45,United States,United States,Student / Unemployed,False,True,False,False,True,False,False,False,False,False,False,VB .Net
46,United States,United States,"$60,000 - $80,000",False,False,False,False,False,False,False,True,False,False,True,
47,United States,United States,Student / Unemployed,False,False,False,False,False,False,True,True,False,False,True,
48,Finland,Finland,"$60,000 - $80,000",False,False,False,False,False,False,False,False,False,False,False,
49,Lithuania,Lithuania,"$60,000 - $80,000",False,False,True,False,True,False,False,False,False,False,True,
50,Italy,Italy,Student / Unemployed,False,False,False,False,False,False,False,False,True,False,False,
51,Israel,Israel,"$80,000 - $100,000",False,True,False,False,False,False,False,False,False,False,False,
52,India,India,"<$20,000",False,True,False,False,False,False,False,False,False,False,False,
53,Canada,Canada,">$140,000",False,False,False,True,True,False,False,False,False,False,True,
54,Germany,Germany,Student / Unemployed,False,False,False,False,False,False,False,False,False,False,False,
55,United Kingdom,United Kingdom,Rather not say,True,True,False,False,True,True,False,False,False,True,True,
56,Russia,Russia,,False,False,False,False,False,False,False,False,False,False,False,
57,United Kingdom,United Kingdom,"$40,000 - $60,000",False,False,False,False,True,False,False,False,True,False,True,
58,Ireland,Ireland,Rather not say,True,True,False,False,False,False,False,False,True,False,False,
59,India,India,Student / Unemployed,False,False,False,False,False,False,False,False,True,False,False,
60,France,France,"$80,000 - $100,000",False,False,False,True,True,False,False,True,False,False,True,
61,Finland,Finland,Student / Unemployed,False,True,False,False,False,False,False,True,True,False,False,
62,India,India,Rather not say,False,False,False,False,True,True,False,True,False,False,True,
63,New Zealand,New Zealand,,False,False,False,False,False,False,False,False,False,False,False,
64,India,India,,False,False,False,False,False,False,False,False,False,False,False,
65,India,India,Rather not say,False,False,False,False,False,False,False,False,False,False,False,
66,New Zealand,New Zealand,"$80,000 - $100,000",True,False,False,False,False,False,False,False,True,False,True,
67,India,India,"<$20,000",False,False,False,True,False,False,True,False,False,False,True,
68,Ecuador,Ecuador,Rather not say,False,False,False,False,False,False,False,False,False,False,False,j
69,United States,United States,">$140,000",False,False,True,False,True,False,False,False,False,False,True,
70,United States,United States,Rather not say,False,False,False,True,True,False,False,True,True,True,True,
71,United States,United States,Rather not say,False,False,False,False,False,False,False,False,False,False,False,
72,Canada,Canada,"$20,000 - $40,000",False,False,False,False,False,False,False,False,False,False,False,
73,United States,United States,"$100,000 - $120,000",False,False,True,False,True,False,False,True,False,False,True,powerbasic
74,United States,United States,"$60,000 - $80,000",False,False,False,False,True,False,False,True,True,False,True,
75,Spain,Spain,"$40,000 - $60,000",False,True,True,False,False,False,False,False,True,False,False,
76,Canada,Canada,Rather not say,False,True,False,False,False,False,False,False,True,False,False,
77,United States,United States,"$60,000 - $80,000",False,False,True,False,False,False,False,False,False,False,True,
78,United States,United States,Rather not say,True,True,True,True,True,False,False,False,False,False,True,
79,Vietnam,Vietnam,">$140,000",True,False,False,True,False,True,True,True,False,False,True,
80,United Kingdom,United Kingdom,"<$20,000",False,True,False,False,True,True,False,False,False,False,True,
81,Germany,Germany,Rather not say,False,False,False,False,True,True,False,True,True,False,True,
82,Chile,Chile,"$20,000 - $40,000",False,True,False,False,True,True,True,False,False,False,False,
83,France,France,"$20,000 - $40,000",False,False,False,False,True,False,False,True,False,False,True,
84,India,India,Rather not say,False,False,True,True,True,True,False,True,False,False,False,
85,United States,United States,"$40,000 - $60,000",False,False,False,False,False,False,False,False,False,False,True,VB.Net
86,France,France,"<$20,000",False,False,False,True,True,False,True,True,False,False,False,
87,United States,United States,"$120,000 - $140,000",False,False,False,True,False,False,False,False,False,False,False,Scala
88,Germany,Germany,"$60,000 - $80,000",False,False,False,True,False,False,False,True,False,False,False,
89,United States,United States,"$80,000 - $100,000",True,True,False,False,False,False,False,False,True,False,False,
90,United States,United States,,False,False,False,False,False,False,False,False,False,False,False,
91,Ukraine,Ukraine,"<$20,000",True,True,True,False,True,False,False,False,False,False,True,
92,Ukraine,Ukraine,Rather not say,True,True,False,False,True,False,False,False,False,False,True,
93,India,India,Rather not say,False,False,False,False,True,False,False,True,False,False,False,MySql
94,Italy,Italy,"$40,000 - $60,000",False,False,False,False,False,False,False,False,False,False,False,
95,Finland,Finland,"$60,000 - $80,000",False,False,True,False,False,False,False,False,False,False,True,Powershell
96,France,France,"$40,000 - $60,000",False,False,False,False,False,False,False,False,False,False,False,
97,United States,United States,Student / Unemployed,False,False,False,False,False,False,False,False,False,False,False,
98,United Kingdom,United Kingdom,"$60,000 - $80,000",False,False,True,False,True,False,False,False,False,False,True,VB
99,United Kingdom,United Kingdom,"$40,000 - $60,000",False,False,True,False,False,False,False,False,False,False,True,VB.net
100,China,China,"$60,000 - $80,000",False,False,True,True,True,False,False,False,False,False,True,
101,United States,United States,"$60,000 - $80,000",False,False,False,False,True,True,False,False,False,False,False,
102,United Kingdom,United Kingdom,"$40,000 - $60,000",False,False,True,True,True,False,False,False,False,False,True,
103,India,India,Rather not say,False,False,True,False,True,False,False,False,False,False,True,"JQuery, HTML, XAML"
104,India,India,"<$20,000",False,False,True,False,True,False,False,False,False,False,True,
105,United Kingdom,United Kingdom,"$20,000 - $40,000",False,False,True,False,False,False,False,False,False,False,True,vb
106,United Kingdom,United Kingdom,"$120,000 - $140,000",False,False,True,False,False,False,False,False,False,False,True,
107,Netherlands,Netherlands,Student / Unemployed,False,False,True,False,True,False,False,False,False,False,False,
