index,language,avg_salary,survey_year
0,JavaScript,114864.94013838634,2021
1,HTML/CSS,113497.73098142823,2021
2,Python,124533.7195079086,2021
3,SQL,117631.4810222353,2021
4,Java,115848.8901850362,2021
5,Node.js,123406.11506416104,2021
6,TypeScript,127429.09154169168,2021
7,C#,123497.10245183887,2021
8,Bash/Shell,144981.97340231726,2021
9,C++,118030.1136444182,2021
0,JavaScript,102280.80469113847,2020
1,HTML/CSS,100018.7772516382,2020
2,SQL,103281.52037228542,2020
3,Python,113061.52551862752,2020
4,Java,105150.55702746366,2020
5,Bash/Shell/PowerShell,123621.34345533005,2020
6,C#,107592.11212175792,2020
7,PHP,81937.73262032085,2020
8,TypeScript,107735.75537040755,2020
9,C++,111340.13526266122,2020
0,JavaScript,127492.88098593352,2019
1,HTML/CSS,124628.0385097057,2019
2,SQL,128448.33660739665,2019
3,Python,141269.54417216746,2019
4,Java,121979.8656046138,2019
5,Bash/Shell/PowerShell,147670.7298919018,2019
6,C#,131545.5018270402,2019
7,PHP,102961.4537263947,2019
8,C++,129104.95508982036,2019
9,TypeScript,133337.36770213704,2019
0,JavaScript,97974.17145899891,2018
1,HTML,95030.69808103668,2018
2,CSS,95604.4886275272,2018
3,SQL,97567.42716457607,2018
4,Java,90282.98584624552,2018
5,Bash/Shell,107340.89994119952,2018
6,Python,101955.64278257047,2018
7,C#,99185.49439274636,2018
8,PHP,81961.01156661786,2018
9,C++,90378.2715313269,2018
0,JavaScript,56396.92270639816,2017
1,SQL,55663.30820719875,2017
2,Java,55184.95040948789,2017
3,C#,58305.49989463399,2017
4,Python,61641.073323707606,2017
5,PHP,44780.66485359173,2017
6,C++,58690.2627537448,2017
7,C,56663.80076973501,2017
8,TypeScript,59623.00895134647,2017
9,Ruby,65581.2616907475,2017
