,language,percent
0,JavaScript,45.85601472053975
1,SQL,36.18416008586981
2,Java,31.50732193513762
3,C#,26.63881008970329
4,PHP,25.028751054205323
5,Python,20.07973625699609
6,C++,17.361803266119757
7,C,13.846507705282527
8,Node.js,11.18991029671088
9,AngularJS,11.166909453346623
10,C++11,7.095760177873189
11,Ruby,6.7660814229855095
12,Matlab,3.296787548876792
13,CoffeeScript,3.001610059035498
14,Swift,2.909606685578471
15,R,2.8942727900023
16,Perl,2.829103733803573
17,Scala,2.0624089549950164
18,Go,1.7710649390477653
19,Cassandra,0.7743617265966418
20,Clojure,0.6746914053515295
21,F#,0.667024457563444
22,Dart,0.4178486544506632
23,Rust,0.39484781108640654
24,Heskell,0.0
25,Objective-c,0.0
26,Visual BAsic,0.0
