,language,percentage
0,JavaScript,56.48274948093829
1,SQL,45.23567610549101
2,Java,36.206211070371516
3,C#,31.388876617926403
4,PHP,26.200468259928435
5,Python,24.892874497504085
6,SQLServer,19.29363431550117
7,C++,19.08380085700402
8,AngularJS,18.39466360383443
9,Node.js,17.659142112470732
10,Android,17.413968282016167
11,C,15.216238900914433
12,LAMP,10.052127048637187
13,MongoDB,9.93506206652825
14,"Cloud(AWS,GAE,Azure,etc.)",9.76719529973053
15,iOS,9.398330167425012
16,WordPress,9.349737155983567
17,Ruby,9.188496708927861
18,Arduino/RaspberryPi,7.710827406458454
19,VisualBasic,6.798604055307682
20,Objective-C,6.73013208464019
21,Redis,6.032159738481248
22,Swift,5.769315722047975
23,ReactJS,5.336396165569643
24,CoffeeScript,3.505323143526086
25,Cordova,3.419180986879887
26,Scala,3.3308300569863496
27,R,3.3197861907496575
28,Perl,3.3043247780182887
29,Go,3.198303662146044
30,Matlab,3.1872597959093523
31,WindowsPhone,2.3147943632106727
32,Hadoop,2.0806643989927993
33,SharePoint,1.7979414233334805
34,Haskell,1.6212395635464065
35,Spark,1.4622078897380395
36,Salesforce,1.3782745063391793
37,Cassandra,1.3760657330918409
38,Clojure,1.155188408357998
39,F#,1.0138269205283386
40,Rust,0.8967619384194018
41,Dart,0.45058974245703937
