index,language,percentage,survey_year
0,JavaScript,64.22296528002492,2021
1,HTML/CSS,55.4405014441688,2021
2,Python,47.68992916981268,2021
3,SQL,46.5429834969259,2021
4,Java,34.95008329438272,2021
5,Node.js,33.5274871462985,2021
6,TypeScript,29.8529464638838,2021
7,C#,27.54587183451384,2021
8,Bash/Shell,26.82798211867352,2021
9,C++,24.037919917544556,2021
10,PHP,21.728448327520702,2021
11,C,20.76846558563741,2021
12,PowerShell,10.631718980332938,2021
13,Go,9.442826496003068,2021
14,Kotlin,8.228765924807345,2021
15,Rust,6.949987415956567,2021
16,Ruby,6.674336940759118,2021
17,Dart,5.950454823284076,2021
18,Assembly,5.551360874411246,2021
19,Swift,5.038411294478601,2021
20,R,5.015640168266637,2021
21,VBA,4.610553817759081,2021
22,Matlab,4.609355337432136,2021
23,Groovy,2.9710327304977286,2021
24,Objective-C,2.768489555243951,2021
25,Scala,2.5743357422787905,2021
26,Perl,2.4305181030453387,2021
27,Haskell,2.096142091827563,2021
28,Delphi,2.074569445942545,2021
29,Clojure,1.8600414674193124,2021
30,Elixir,1.723414710147533,2021
31,LISP,1.3135344383321947,2021
32,Julia,1.2799769891777226,2021
33,F#,0.9635781828641284,2021
34,Erlang,0.780210692841477,2021
35,APL,0.6423854552427521,2021
36,Crystal,0.5584918323565718,2021
37,COBOL,0.5237359028751544,2021
0,JavaScript,60.2255627433642,2020
1,HTML/CSS,56.1285118133445,2020
2,SQL,48.731791315679246,2020
3,Python,39.2283706427142,2020
4,Java,35.79528707280371,2020
5,Bash/Shell/PowerShell,29.444160034749693,2020
6,C#,27.987465289089524,2020
7,PHP,23.280743395231223,2020
8,TypeScript,22.61522470951428,2020
9,C++,21.26402010517988,2020
10,C,19.371402863747072,2020
11,Go,7.815578411752842,2020
12,Kotlin,6.9313228153457125,2020
13,Ruby,6.27666340888289,2020
14,Assembly,5.511859884271109,2020
15,VBA,5.428088301453593,2020
16,Swift,5.269853089464948,2020
17,R,5.100758598222181,2020
18,Rust,4.543832705046462,2020
19,Objective-C,3.630101922092429,2020
20,Dart,3.53702238562852,2020
21,Scala,3.183320147065668,2020
22,Perl,2.786180791486325,2020
23,Haskell,1.895719892648268,2020
24,Julia,0.8051379904128078,2020
0,JavaScript,66.62578895851851,2019
1,HTML/CSS,62.40338422420485,2019
2,SQL,53.49054374852334,2019
3,Python,41.001091322300105,2019
4,Java,40.4093021162652,2019
5,Bash/Shell/PowerShell,35.99225948719103,2019
6,C#,30.486144707086844,2019
7,PHP,25.91046656841016,2019
8,C++,23.091029780722973,2019
9,TypeScript,20.83975563381074,2019
10,C,20.2704679184996,2019
11,Other(s):,8.910590326609139,2019
12,Ruby,8.247921424794393,2019
13,Go,8.10166173508995,2019
14,Assembly,6.562559769584735,2019
15,Swift,6.462428135864001,2019
16,Kotlin,6.322918893376686,2019
17,R,5.679376258677137,2019
18,VBA,5.378981357514936,2019
19,Objective-C,4.715187381164002,2019
20,Scala,3.7228716402461663,2019
21,Rust,3.1434582541093348,2019
22,Dart,1.8935004444044417,2019
23,Elixir,1.4175939155969084,2019
24,Clojure,1.41084346837978,2019
25,WebAssembly,1.1419506542308429,2019
26,F#,1.0946975237109458,2019
27,Erlang,0.8741829146180935,2019
0,JavaScript,55.319407212584096,2018
1,HTML,54.2491527995549,2018
2,CSS,51.5694704364979,2018
3,SQL,45.18739568054221,2018
4,Java,35.932426280916495,2018
5,Bash/Shell,31.53305346214152,2018
6,Python,30.71063679125993,2018
7,C#,27.26619796671893,2018
8,PHP,24.349805270345456,2018
9,C++,20.102169844722063,2018
10,C,18.250973648272723,2018
11,TypeScript,13.78382479389004,2018
12,Ruby,8.002630114814629,2018
13,Swift,6.383086338576703,2018
14,Assembly,5.826715897020889,2018
15,Go,5.596075059430479,2018
16,Objective-C,5.573820241768247,2018
17,VB.NET,5.31485509078954,2018
18,R,4.868747154923878,2018
19,Matlab,4.616863082292246,2018
20,VBA,3.854129786050276,2018
21,Kotlin,3.548631834505083,2018
22,Scala,3.459612563856153,2018
23,Groovy,3.412068180668656,2018
24,Perl,3.317990996914673,2018
25,Visual Basic 6,3.1227555510596328,2018
26,Lua,2.7646553032218906,2018
27,CoffeeScript,2.633149562490517,2018
28,Delphi/Object Pascal,2.048454807546406,2018
29,Haskell,1.98371351980173,2018
30,Rust,1.8785089272166304,2018
31,F#,1.1279146224267866,2018
32,Clojure,1.0439532648829093,2018
33,Erlang,0.8962622022153659,2018
34,Cobol,0.5968337463962369,2018
35,Ocaml,0.4754438318749683,2018
36,Julia,0.4349805270345455,2018
37,Hack,0.256941985736685,2018
0, SQL,35.93166251556663,2017
1, JavaScript,33.388465130759656,2017
2, Python,20.85733188044832,2017
3, PHP,19.00101183063512,2017
4, Java,16.7769302615193,2017
5,C#,16.726338729763388,2017
6,Java,11.484277708592778,2017
7,JavaScript,11.122353673723536,2017
8,C,10.82464196762142,2017
9, C++,9.005292652552926,2017
10, C#,7.549813200498131,2017
11,C++,6.862935865504359,2017
12, TypeScript,6.769536114570361,2017
13, Ruby,6.176058530510585,2017
14, Swift,4.467621419676214,2017
15, VB.NET,4.35865504358655,2017
16, Objective-C,3.977272727272727,2017
17,Assembly,3.547244707347448,2017
18, VBA,3.008250311332503,2017
19, R,2.883717310087173,2017
20, Perl,2.821450809464508,2017
21, Matlab,2.794209215442092,2017
22, C,2.745563511830635,2017
23, Scala,2.453689290161893,2017
24, Visual Basic 6,2.068415317559153,2017
25, Lua,1.94777397260274,2017
26, Go,1.941936488169365,2017
27,Python,1.9166407222914077,2017
28,CoffeeScript,1.3581880448318806,2017
29,Groovy,1.175280199252802,2017
30, Groovy,1.146092777085928,2017
31,Go,1.087717932752179,2017
32, Haskell,1.0429638854296388,2017
33,PHP,1.0215597758405977,2017
34, CoffeeScript,0.961239103362391,2017
35, F#,0.8425435865504359,2017
36, Rust,0.801681195516812,2017
37,Objective-C,0.5934775840597759,2017
38,SQL,0.5603985056039851,2017
39, Smalltalk,0.5020236612702367,2017
40, Erlang,0.4514321295143212,2017
41, Common Lisp,0.4378113325031133,2017
42, Elixir,0.4339196762141967,2017
43, Clojure,0.4164072229140722,2017
44,Clojure,0.3444115815691158,2017
45,Elixir,0.3054950186799502,2017
46,R,0.2957658779576588,2017
47,Ruby,0.2918742216687422,2017
48,Perl,0.262686799501868,2017
49,Matlab,0.2587951432129514,2017
50,Haskell,0.2198785803237858,2017
51, Julia,0.2140410958904109,2017
52, Dart,0.2101494396014944,2017
53, Hack,0.1653953922789539,2017
54,Swift,0.1400996264009962,2017
55,Smalltalk,0.1342621419676214,2017
56,Erlang,0.0953455790784558,2017
57,Scala,0.0933997509339975,2017
58,Common Lisp,0.0933997509339975,2017
59,Lua,0.0739414694894147,2017
60,Dart,0.0719956413449564,2017
61,VB.NET,0.0642123287671232,2017
62,Julia,0.0544831880448318,2017
63,VBA,0.0544831880448318,2017
